Book_ID,Reservation_Date,Checkout_Date,Return_Date,Member_ID
19,25/07/2018,20/04/2011,11/05/2011,2446
19,---,12/01/2015,18/12/2015,6557
19,---,12/01/2012,21/04/2015,4386
19,---,23/02/2011,26/01/2015,8426
19,---,11/11/2010,17/11/2011,5367
19,25/06/2017,02/05/2011,16/03/2013,6310
19,23/05/2018,10/03/2018,17/04/2019,4120
20,08/08/2016,29/01/2012,11/07/2015,8261
21,30/05/2020,29/01/2015,19/03/2018,3090
21,30/01/2020,27/01/2020,26/06/2021,3566
21,06/08/2019,24/05/2019,14/04/2021,1620
21,11/09/2021,03/03/2021,27/03/2021,3970
21,10/02/2021,15/11/2020,23/10/2021,8742
21,07/04/2019,03/10/2017,10/04/2021,7750
21,20/02/2021,---,---,9643
22,01/10/2012,05/06/2011,15/06/2018,1019
22,05/12/2021,10/08/2021,25/09/2021,6242
22,02/03/2018,07/08/2017,04/07/2021,5449
22,08/08/2021,06/08/2019,22/04/2020,5807
22,15/01/2018,19/04/2013,18/04/2020,4875
23,04/06/2014,30/08/2013,16/06/2020,5319
23,20/11/2021,11/12/2016,28/11/2018,5833
23,29/06/2019,19/01/2019,08/09/2020,7726
23,---,13/02/2014,24/03/2020,2969
24,---,10/06/2013,23/11/2014,9875
24,---,24/05/2012,24/09/2014,4701
24,---,27/04/2016,03/10/2016,2443
24,05/06/2020,19/08/2014,15/12/2019,4219
25,03/11/2021,02/11/2021,07/12/2021,4961
25,30/10/2013,25/02/2010,22/11/2021,9187
25,23/10/2021,---,---,3603
26,14/04/2018,---,---,9083
26,---,18/02/2018,16/10/2019,1904
26,28/04/2018,02/09/2013,22/02/2018,5197
26,12/04/2019,05/02/2018,09/02/2020,5748
26,---,20/11/2012,21/07/2017,4363
27,30/04/2021,18/01/2020,03/08/2020,1807
27,10/04/2019,31/03/2017,12/08/2020,1884
28,---,14/04/2017,18/09/2021,9655
28,24/05/2019,12/04/2019,14/09/2021,6110
28,27/07/2019,08/04/2010,24/11/2020,6404
28,---,03/11/2013,01/03/2019,2564
28,---,29/09/2010,11/04/2020,8699
29,---,01/12/2020,12/09/2021,5045
30,---,06/01/2011,22/03/2011,9424
30,24/09/2021,09/04/2020,21/11/2021,5665
30,22/09/2016,27/09/2013,21/04/2021,8398
31,03/05/2021,---,---,3990
31,14/12/2021,---,---,3578
31,01/09/2020,25/11/2017,19/03/2019,3221
31,---,18/09/2013,18/12/2015,1443
31,---,13/02/2021,29/06/2021,5100
32,15/11/2019,07/06/2018,28/09/2021,9930
32,06/03/2018,18/12/2014,03/09/2018,1943
32,15/09/2021,20/06/2020,05/06/2021,1492
32,28/05/2021,06/08/2016,27/01/2018,3026
33,04/12/2015,23/09/2015,27/10/2017,8434
33,---,18/10/2010,19/08/2015,8309
33,20/10/2015,25/10/2013,25/12/2015,7026
33,---,30/01/2010,22/03/2014,1405
34,27/08/2021,17/02/2018,23/07/2021,6840
34,13/06/2021,06/06/2020,---,7083
34,20/08/2020,05/12/2019,29/07/2021,7341
34,04/05/2020,30/10/2014,17/05/2015,9760
34,---,23/03/2017,---,3260
35,---,15/02/2015,08/09/2019,1770
35,---,19/05/2012,12/04/2015,3934
35,25/02/2020,08/12/2018,---,9573
35,24/07/2021,---,---,1497
36,---,03/08/2012,20/05/2013,8951
36,---,04/07/2014,25/06/2017,6513
36,---,30/08/2018,30/11/2019,1153
37,09/09/2014,24/02/2010,29/04/2016,6307
37,17/10/2021,---,---,4718
37,---,29/10/2011,23/06/2020,2814
37,03/06/2020,06/12/2018,23/08/2019,7398
37,---,29/01/2020,01/01/2021,6843
37,---,19/06/2014,---,8128
38,---,20/07/2012,15/09/2013,5277
38,07/01/2020,13/05/2013,05/04/2014,5284
38,---,23/07/2021,29/11/2021,6317
38,29/06/2020,12/11/2018,30/12/2018,6006
38,30/12/2021,05/08/2021,16/09/2021,9781
39,---,17/03/2020,12/12/2020,9361
39,---,08/01/2016,29/01/2018,7056
39,30/06/2014,16/01/2011,---,2577
39,09/10/2021,---,---,1167
40,03/08/2011,11/10/2011,10/03/2013,1602
40,30/11/2013,---,---,7166
41,03/05/2020,10/03/2020,11/06/2020,6808
41,---,16/09/2021,19/10/2021,4973
41,---,08/09/2019,31/08/2020,1965
41,---,11/10/2016,15/02/2018,9270
41,16/12/2021,13/09/2021,29/12/2021,9293
41,19/12/2019,25/08/2017,---,3992
41,25/11/2021,---,---,5288
42,30/12/2019,22/05/2014,28/12/2016,5173
42,08/11/2012,24/08/2012,19/02/2018,9853
42,---,03/07/2021,09/12/2021,2414
42,---,02/02/2020,---,8990
43,---,02/10/2017,05/05/2021,8358
43,---,24/10/2020,28/10/2020,3262
43,01/01/2020,04/08/2019,07/01/2021,3998
43,28/01/2020,12/12/2011,03/09/2021,6612
43,15/09/2013,13/06/2013,---,4668
43,---,---,---,5890
44,24/12/2021,17/11/2019,21/03/2020,5547
44,15/10/2018,13/04/2018,23/07/2020,6985
45,15/07/2016,---,---,8744
45,29/12/2021,---,---,6916
45,---,26/07/2020,13/09/2020,8989
45,12/03/2020,22/11/2019,25/10/2021,5984
45,12/06/2020,21/11/2012,30/11/2021,6236
45,---,18/08/2011,28/03/2013,1492
45,06/03/2020,04/04/2016,11/12/2018,9059
45,02/01/2021,25/06/2012,03/01/2021,8599
46,02/11/2021,---,---,7424
46,---,05/01/2019,12/12/2019,3804
46,---,28/12/2021,29/12/2021,9158
47,---,18/08/2017,11/12/2018,2532
47,---,04/06/2015,27/05/2017,6054
47,08/07/2019,16/07/2014,---,4446
47,13/01/2021,04/01/2021,27/06/2021,1044
47,13/04/2018,26/09/2013,---,1042
47,---,16/04/2019,29/12/2021,7142
47,12/12/2021,31/12/2021,---,3261
48,---,04/03/2017,12/09/2020,8658
48,---,11/11/2017,28/01/2020,2130
49,---,11/06/2012,27/11/2012,1957
49,---,02/08/2010,19/04/2013,1070
49,---,02/05/2014,12/09/2019,5208
49,19/05/2019,20/03/2018,31/08/2020,8439
49,20/07/2013,---,---,7317
50,24/01/2021,12/07/2020,18/08/2020,1208
50,20/06/2020,16/07/2020,15/08/2021,3540
50,---,16/01/2011,23/04/2015,7129
50,---,10/06/2015,29/03/2016,7860
50,02/04/2014,---,---,3004
